Skills,Count
Active Learning,1
Agile Methodology,1
Algorithm Analysis,1
Algorithms,4
Application Layers,1
Application Programming Interface (API),1
Assembly Language,2
Attack Surface Management,1
Auditing,1
Authentications,1
Business Continuity Planning,1
Business Logic,1
C (Programming Language),3
C++ (Programming Language),1
Cascading Style Sheets (CSS),1
Certified Risk Adjustment Coder (CRC),1
Cisco Certified Entry Networking Technician,1
Cisco Certified Network Associate (CCNA) Routing And Switching,1
Cloud Computing,1
Collaborative Software,1
Communications,2
Communications Protocols,1
Computer Networks,1
Contingency Planning,1
Control Objectives For Information And Related Technology (COBIT),1
Coordinating,1
Cryptography,1
Cyber Security,1
Dashboard,1
Data Analysis,4
Data Integrity,1
Data Manipulation,1
Data Recovery,1
Data Structures,1
Database Systems,1
Debugging,2
Deep Learning,1
Defense In Depth,1
Descriptive Statistics,1
Dimensionality Reduction,1
Directory Structure,1
Disaster Recovery Plan,1
Discrete Mathematics,1
Disinfecting,1
Ductility,1
Dynamic Host Configuration Protocol (DHCP),1
Electronic Control Unit,1
Embedded Systems,2
Encryption,1
Ethical Standards And Conduct,1
Experimentation,1
File Attribute,1
File Systems,1
Firewall,1
Flow Control,1
Forensic Sciences,1
Forensics Tools (Digital Forensics Software),1
Fuzz Testing,1
Governance,2
Hard Disk Drives,1
Hardening,1
Housekeeping,1
HyperText Markup Language (HTML),1
IP Addressing,1
ISO/IEC 27000 Series,1
Information And Communications Technology,2
Information Governance,1
Information Technology Infrastructure Library,1
Internet Of Things (IoT),2
Intrusion Detection And Prevention,1
Java (Programming Language),2
JavaScript (Programming Language),1
Junit,1
Leadership,1
Lecturing,1
Lifelong Learning,1
Linear Algebra,1
Linear Equations,1
Linked Lists,1
Linux,1
Local Area Networks,1
Machine Learning,1
Machine Learning Algorithms,1
Machine Learning Methods,1
Management,2
Mass Storage,1
Mathematics,2
Memory Hierarchy,1
Memory Management,1
Microcontrollers,1
Microsoft Security Development Lifecycle,1
Mobile Phones,1
Mutual Exclusion (Mutex),1
MySQL,1
Network Routing,1
Network Simulation,1
Network Switches,1
Number Systems,1
OSI Models,2
Object-Oriented Programming (OOP),1
Open Systems Interconnection,1
Open-Source Software,1
Operating Systems,1
Operations,2
Operations Security,1
Organizational Change Management,1
Organizational Leadership,1
PHP (Scripting Language),1
Page Replacement,1
Payment Card Industry (PCI) Data Security Standards,1
Penetration Testing,1
Performance Appraisal,1
Peripheral Devices,1
Planning,1
Polymorphism,1
Probability,1
Probability Distribution,1
Probability Theories,1
Process Management,1
Product Demonstration,1
Programming Concepts,1
Project Planning,1
Protocol Analyzer,1
Prototyping,1
Python (Programming Language),2
R (Programming Language),1
Real-Time Operating Systems,1
Reconnaissance,1
Requirements Engineering,1
Risk Management,1
Risk Mitigation,1
Sampling (Statistics),1
Sarbanes-Oxley Act (SOX) Compliance,1
Scalability,1
Scheduling,1
Scripting,2
Secure Coding,1
Security Management,1
Security Policies,1
Security Requirements Analysis,1
Security Strategies,1
Serial Communications,1
Server-Side,1
Social Change,1
Socket Programming,1
Software Architecture,1
Software Development,1
Software Development Life Cycle,2
Software Documentation,1
Software Engineering,2
Software Maintenance,1
Sorting,1
Statistical Inference,1
Statistics,1
Storage Management,1
Subnetwork,1
TCP/IP,1
Threat Modeling,1
Transmission Control Protocol (TCP),1
Unified Modeling Language,1
Unix,1
V-Model,1
Virtual Memory,1
Vulnerability,1
Vulnerability Management,1
Warehousing,1
Waterfall Methodology,1
Web Application Security,1
Wireless Paging Systems,1
